Employee_No,Attrition,Gender,Age,Education,Education_Field,Marital_Status,Department,Job_Role,Job_Level,Distance_From_Home,Business_Travel,Hourly_Rate,Daily_Rate,Monthly_Rate,Monthly_Income,Percent_Salary_Hike,Job_Involvement,Performance_Rating,Environment_Satisfaction,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Over_Time,Stock_Option_Level,No_Companies_Worked,Total_Working_Years,Training_Times_LastYear,Years_At_Company,Years_In_Current_Role,Years_Since_LastPromotion,Years_with_Curr_Manager
1,Yes,Female,Between 39 to 44,College,Life Sciences,Single,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,94,1102,19479,5993,11,High,Excellent,Medium,Very High,Low,Bad,Yes,0,8,0 - 10 years,0,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
2,No,Male,Between 45 to 51,Below college,Life Sciences,Married,Research & Development,Research Scientist,2,1 - 9 km,Travel_Frequently,61,279,24907,5130,23,Medium,Outstanding,High,Medium,Very High,Better,No,1,1,0 - 10 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
4,Yes,Male,Between 32 to 38,College,Other,Single,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,92,1373,2396,2090,15,Medium,Excellent,Very High,High,Medium,Better,Yes,0,6,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
5,No,Female,Between 32 to 38,Master,Life Sciences,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Frequently,56,1392,23159,2909,11,High,Excellent,Very High,High,High,Better,Yes,0,1,0 - 10 years,3,0 - 10 years,6 - 10 years,0 - 5 years,0 - 5 years
7,No,Male,Between 25 to 31,Below college,Medical,Married,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,40,591,16632,3468,12,High,Excellent,Low,Medium,Very High,Better,No,1,9,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
8,No,Male,Between 32 to 38,College,Life Sciences,Single,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Frequently,79,1005,11864,3068,13,High,Excellent,Very High,Very High,High,Good,No,0,0,0 - 10 years,2,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
10,No,Female,52 and more than 52,Bachelor,Medical,Married,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,81,1324,9964,2670,20,Very High,Outstanding,High,Low,Low,Good,Yes,3,4,11 - 20 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
11,No,Male,Between 25 to 31,Below college,Life Sciences,Divorced,Research & Development,Laboratory Technician,1,20 - 30 km,Travel_Rarely,67,1358,13335,2693,22,High,Outstanding,Very High,High,Medium,Better,No,1,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
12,No,Male,Between 32 to 38,Bachelor,Life Sciences,Single,Research & Development,Manufacturing Director,3,20 - 30 km,Travel_Frequently,44,216,8787,9526,21,Medium,Outstanding,Very High,High,Medium,Better,No,0,0,0 - 10 years,2,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
13,No,Male,Between 32 to 38,Bachelor,Medical,Married,Research & Development,Healthcare Representative,2,20 - 30 km,Travel_Rarely,94,1299,16577,5237,13,High,Excellent,High,High,Medium,Good,No,2,6,11 - 20 years,3,0 - 10 years,6 - 10 years,6 - 10 years,6 - 10 years
14,No,Male,Between 32 to 38,Bachelor,Medical,Married,Research & Development,Laboratory Technician,1,10 - 19 km,Travel_Rarely,84,809,16479,2426,13,Very High,Excellent,Low,Medium,High,Better,No,1,0,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
15,No,Female,Between 25 to 31,College,Life Sciences,Single,Research & Development,Laboratory Technician,2,10 - 19 km,Travel_Rarely,49,153,12682,4193,12,Medium,Excellent,Very High,High,Very High,Better,Yes,0,0,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,6 - 10 years
16,No,Male,Between 25 to 31,Below college,Life Sciences,Divorced,Research & Development,Research Scientist,1,20 - 30 km,Travel_Rarely,31,670,15170,2911,17,High,Excellent,Low,High,Very High,Good,No,1,1,0 - 10 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
18,No,Male,Between 32 to 38,College,Medical,Divorced,Research & Development,Laboratory Technician,1,10 - 19 km,Travel_Rarely,93,1346,8758,2661,11,High,Excellent,Medium,Very High,High,Better,No,1,0,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
19,Yes,Male,Between 25 to 31,Bachelor,Life Sciences,Single,Research & Development,Laboratory Technician,1,20 - 30 km,Travel_Rarely,50,103,12947,2028,14,Medium,Excellent,High,High,Medium,Better,Yes,0,5,0 - 10 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
20,No,Female,Between 25 to 31,Master,Life Sciences,Divorced,Research & Development,Manufacturing Director,3,20 - 30 km,Travel_Rarely,51,1389,10195,9980,11,Very High,Excellent,Medium,Low,High,Better,No,1,1,0 - 10 years,1,0 - 10 years,6 - 10 years,6 - 10 years,6 - 10 years
21,No,Male,Between 32 to 38,College,Life Sciences,Divorced,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,80,334,15053,3298,12,Very High,Excellent,Low,Medium,Very High,Good,Yes,2,0,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
22,No,Male,Between 18 to 24,College,Medical,Divorced,Research & Development,Laboratory Technician,1,10 - 19 km,Non-Travel,96,1123,7324,2935,13,Very High,Excellent,Very High,Very High,Medium,Good,Yes,2,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
23,No,Female,52 and more than 52,Master,Life Sciences,Married,Sales,Manager,4,1 - 9 km,Travel_Rarely,78,1219,22021,15427,16,Medium,Excellent,Low,Very High,High,Better,No,0,2,More than 31 years,3,21 - 30 years,6 - 10 years,0 - 5 years,6 - 10 years
24,No,Male,Between 32 to 38,Bachelor,Life Sciences,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,45,371,4306,3944,11,High,Excellent,Very High,Very High,High,Better,Yes,0,5,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
26,No,Female,Between 18 to 24,College,Other,Divorced,Research & Development,Manufacturing Director,2,10 - 19 km,Non-Travel,96,673,8232,4011,18,Very High,Excellent,Low,High,Very High,Good,No,1,0,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
27,Yes,Male,Between 32 to 38,Master,Life Sciences,Single,Sales,Sales Representative,1,1 - 9 km,Travel_Rarely,82,1218,6986,3407,23,Medium,Outstanding,High,Low,Medium,Better,No,0,7,0 - 10 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
28,No,Female,Between 32 to 38,Master,Life Sciences,Single,Research & Development,Research Director,3,1 - 9 km,Travel_Rarely,53,419,21293,11994,11,High,Excellent,Low,Medium,High,Better,No,0,0,11 - 20 years,4,11 - 20 years,6 - 10 years,0 - 5 years,11 - 15 years
30,No,Male,Between 18 to 24,College,Life Sciences,Single,Research & Development,Research Scientist,1,10 - 19 km,Travel_Rarely,96,391,19281,1232,14,High,Excellent,High,Very High,Very High,Better,No,0,1,0 - 10 years,6,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
31,Yes,Male,Between 32 to 38,Below college,Medical,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,83,699,17102,2960,11,High,Excellent,Medium,Low,High,Better,No,0,2,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
32,No,Female,52 and more than 52,Bachelor,Other,Divorced,Research & Development,Manager,5,1 - 9 km,Travel_Rarely,58,1282,10735,19094,11,High,Excellent,High,High,Very High,Good,No,1,4,21 - 30 years,3,11 - 20 years,11 - 15 years,0 - 5 years,6 - 10 years
